fecha,lluvia_mm,eto_media_cuenca_mm,balance_diario_mm,lluvia_acum_7d,eto_acum_7d,balance_7d,lluvia_acum_30d,eto_acum_30d,balance_30d,lluvia_acum_90d,eto_acum_90d,balance_90d,fuente_precipitacion,fuente_eto,metodo_eto_id,metodo_eto_diaria,eto_origen,periodo_comun_inicio,periodo_comun_fin
1981-01-01,0.000000,2.855361,-2.855361,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-02,0.000000,2.597399,-2.597399,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-03,0.000000,2.721676,-2.721676,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-04,0.000000,2.559293,-2.559293,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-05,3.475918,2.635529,0.840389,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-06,0.053472,2.854755,-2.801283,,,,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-07,0.000000,2.723136,-2.723136,3.529390,18.947149,-15.417759,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-08,0.000000,2.460326,-2.460326,3.529390,18.552114,-15.022724,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-09,0.000000,2.882770,-2.882770,3.529390,18.837485,-15.308095,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-10,0.000000,2.849557,-2.849557,3.529390,18.965366,-15.435976,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-11,1.482337,2.737368,-1.255031,5.011727,19.143441,-14.131714,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-12,0.000000,2.859509,-2.859509,1.535809,19.367421,-17.831612,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-13,0.000000,2.782032,-2.782032,1.482337,19.294698,-17.812361,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-14,0.000000,3.107507,-3.107507,1.482337,19.679069,-18.196732,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-15,0.000000,3.069039,-3.069039,1.482337,20.287782,-18.805445,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-16,0.000000,2.926736,-2.926736,1.482337,20.331748,-18.849411,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-17,0.000000,2.959994,-2.959994,1.482337,20.442185,-18.959848,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-18,0.000000,2.987634,-2.987634,0.000000,20.692451,-20.692451,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-19,0.000000,2.953531,-2.953531,0.000000,20.786473,-20.786473,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-20,0.000000,3.560294,-3.560294,0.000000,21.564735,-21.564735,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-21,0.000000,3.430181,-3.430181,0.000000,21.887409,-21.887409,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-22,0.000000,3.310571,-3.310571,0.000000,22.128941,-22.128941,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-23,0.000000,3.825982,-3.825982,0.000000,23.028187,-23.028187,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-24,0.000000,3.436768,-3.436768,0.000000,23.504961,-23.504961,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
1981-01-25,0.000000,3.312432,-3.312432,0.000000,23.829759,-23.829759,,,,,,,UCSB-CHG/CHIRPS/DAILY,"ECMWF/ERA5_LAND/DAILY_AGGR:temperature_2m_min,temperature_2m_max",hargreaves_fao56_era5_land_v1,Hargreaves FAO-56 con Tmin/Tmax ERA5-Land y radiación extraterrestre calculada por píxel,Hargreaves FAO-56 con temperaturas ERA5-Land,1981-01-01,2026-06-30
